component,formant_strength,spectral_envelope_smoothness,mid_band_ratio
0,0.01640948383771643,0.9100626129901959,0.0367401113081891
1,0.0685849812923378,0.9607728121657789,0.1908722379746795
2,0.10307194791933433,0.9226277212448719,0.37865445144846877
3,0.2770470209100461,0.8992076774212616,0.7247209588494941
4,0.33788730263966754,0.9028308932713397,0.9763534580584589
5,0.09935184283330846,0.9281943105110784,0.2242028775294615
6,0.18354170460390318,0.8958518817946942,0.4984025350443805
7,0.21668777473015075,0.9065861334098255,0.6742752669155219
8,0.1704506718478178,0.9241739845246825,0.38263480459078975
9,0.3589802663389623,0.8981226714195729,0.6888993051310325
10,0.360832935493759,0.9064746529583432,0.8578812086103547
11,0.07765475124128796,0.8929485876343954,0.42389796704365285
12,0.1754421854134642,0.9004318619021993,0.5101756707838503
13,0.25401286903724757,0.9243183786304641,0.7382301857210603
14,0.24160004257641368,0.9111546985061403,0.7018080012744625
15,0.2359228883331438,0.8997784655387574,0.8481803023298181
16,0.31863303212703514,0.8908720406479026,0.9153061592071665
17,0.31644141449175733,0.9284122956957072,0.689732690081489
18,0.33435265927025365,0.8886300271385875,0.9619156139508299
19,0.11733494056161779,0.9102473617941282,0.3310973204700986
